"date","count","size"
"2016-02-07 00:00:00",72,177271205649
"2016-02-08 00:00:00",90,441865347034
"2016-02-09 00:00:00",109,556865181469
"2016-02-10 00:00:00",87,504095363807
"2016-02-11 00:00:00",61,380801589735
"2016-02-12 00:00:00",211,325415436387
"2016-02-13 00:00:00",130,726925529607
"2016-02-14 00:00:00",91,397401925857
"2016-02-15 00:00:00",155,558720785812
"2016-02-16 00:00:00",49,460233553940
"2016-02-17 00:00:00",170,798687292891
"2016-02-18 00:00:00",60,130337964030
"2016-02-19 00:00:00",59,341187699089
"2016-02-20 00:00:00",61,243720671429
"2016-02-21 00:00:00",29,45094516973
"2016-02-22 00:00:00",67,438890918019
"2016-02-23 00:00:00",48,311226692803
"2016-02-24 00:00:00",119,730242303309
"2016-02-25 00:00:00",125,1231035124947
"2016-02-26 00:00:00",53,311266435155
"2016-02-27 00:00:00",72,489665468658
"2016-02-28 00:00:00",58,525672574004
"2016-02-29 00:00:00",88,263112726107
"2016-03-01 00:00:00",66,441495552199
"2016-03-02 00:00:00",59,476948678373
"2016-03-03 00:00:00",100,1015178872783
"2016-03-04 00:00:00",63,382769086005
"2016-03-05 00:00:00",56,474329364366
"2016-03-06 00:00:00",66,395924171567
"2016-03-07 00:00:00",114,635746958498
"2016-03-08 00:00:00",132,1210533459145
"2016-03-09 00:00:00",112,1894058228490
"2016-03-10 00:00:00",66,534272767260
"2016-03-11 00:00:00",45,622329322076
"2016-03-12 00:00:00",95,465967666690
"2016-03-13 00:00:00",69,685311875626
"2016-03-14 00:00:00",60,523880569909
"2016-03-15 00:00:00",55,551530023895
"2016-03-16 00:00:00",84,437889774154
"2016-03-17 00:00:00",62,1079085781202
"2016-03-18 00:00:00",93,346465329289
"2016-03-19 00:00:00",128,419536806232
"2016-03-20 00:00:00",53,399006803734
"2016-03-21 00:00:00",77,548227355752
"2016-03-22 00:00:00",55,314135489314
"2016-03-23 00:00:00",135,948867229986
"2016-03-24 00:00:00",50,584595640737
"2016-03-25 00:00:00",44,223837143323
"2016-03-26 00:00:00",59,401175483254
"2016-03-27 00:00:00",66,258691195533
"2016-03-28 00:00:00",72,1594655061737
"2016-03-29 00:00:00",56,123520130413
"2016-03-30 00:00:00",130,660116811985
"2016-03-31 00:00:00",60,172450788503
"2016-04-01 00:00:00",52,91914506449
"2016-04-02 00:00:00",63,206519104418
"2016-04-03 00:00:00",133,1911830070201
"2016-04-04 00:00:00",65,585977507800
"2016-04-05 00:00:00",141,942021216868
"2016-04-06 00:00:00",97,3176402577360
"2016-04-07 00:00:00",66,474356676621
"2016-04-08 00:00:00",72,316713511249
"2016-04-09 00:00:00",94,438793827730
"2016-04-10 00:00:00",68,171525201742
"2016-04-11 00:00:00",66,457549605341
"2016-04-12 00:00:00",97,595858526096
"2016-04-13 00:00:00",124,3176330933886
"2016-04-14 00:00:00",44,201024429368
"2016-04-15 00:00:00",141,691333967832
"2016-04-16 00:00:00",87,603375834656
"2016-04-17 00:00:00",107,406691582991
"2016-04-18 00:00:00",119,1099755089299
"2016-04-19 00:00:00",48,770706761920
"2016-04-20 00:00:00",69,512811663295
"2016-04-21 00:00:00",156,1098007150383
"2016-04-22 00:00:00",84,451621951210
"2016-04-23 00:00:00",79,369185204527
"2016-04-24 00:00:00",81,284352025399
"2016-04-25 00:00:00",129,727053695334
"2016-04-26 00:00:00",95,3257067775262
"2016-04-27 00:00:00",52,358933493472
"2016-04-28 00:00:00",63,472750949129
"2016-04-29 00:00:00",62,306071876448
"2016-04-30 00:00:00",92,522086030421
"2016-05-01 00:00:00",36,2799988968997
"2016-05-02 00:00:00",73,309017524310
"2016-05-03 00:00:00",92,735203487453
"2016-05-04 00:00:00",1262,12198073706807
"2016-05-05 00:00:00",352,3266554129797
"2016-05-06 00:00:00",224,1990667432456
"2016-05-07 00:00:00",401,926218159703
"2016-05-08 00:00:00",8306,2389568748037
"2016-05-09 00:00:00",7614,8578463050985
"2016-05-10 00:00:00",5731,9426895515673
"2016-05-11 00:00:00",6855,14676540936604
"2016-05-12 00:00:00",9591,15052673114093
"2016-05-13 00:00:00",41102,152751736060988
"2016-05-14 00:00:00",77109,250237168060964
"2016-05-15 00:00:00",6024,10670376271981
"2016-05-16 00:00:00",457,1043217417665
"2016-05-17 00:00:00",82,800015316399
"2016-05-18 00:00:00",70,380000917564
"2016-05-19 00:00:00",169,989835077009
"2016-05-20 00:00:00",112,948222601503
"2016-05-21 00:00:00",82,679335974227
"2016-05-22 00:00:00",56,286846513798
"2016-05-23 00:00:00",60,288385891228
"2016-05-24 00:00:00",62,397196619605
"2016-05-25 00:00:00",70,418519283715
"2016-05-26 00:00:00",77,520157387876
"2016-05-27 00:00:00",47,227287420505
"2016-05-28 00:00:00",73,367999198892
"2016-05-29 00:00:00",64,548188268259
"2016-05-30 00:00:00",97,367056112331
"2016-05-31 00:00:00",89,325015223016
"2016-06-01 00:00:00",83,354794894642
"2016-06-02 00:00:00",98,364775138482
"2016-06-03 00:00:00",105,980266581108
"2016-06-04 00:00:00",70,479757941903
"2016-06-05 00:00:00",91,476465331758
"2016-06-06 00:00:00",56,484851193910
"2016-06-07 00:00:00",52,832535170965
"2016-06-08 00:00:00",55,2845510773333
"2016-06-09 00:00:00",54,484755105019
"2016-06-10 00:00:00",48,533825835205
"2016-06-11 00:00:00",68,488137011105
"2016-06-12 00:00:00",92,516724290430
"2016-06-13 00:00:00",72,232365429451
"2016-06-14 00:00:00",72,455481356875
"2016-06-15 00:00:00",75,482727125971
"2016-06-16 00:00:00",49,199727190967
"2016-06-17 00:00:00",94,1447666931275
"2016-06-18 00:00:00",93,765166651815
"2016-06-19 00:00:00",77,427891609196
"2016-06-20 00:00:00",65,1849681390018
"2016-06-21 00:00:00",86,465964476038
"2016-06-22 00:00:00",60,271459868166
"2016-06-23 00:00:00",82,795539751290
"2016-06-24 00:00:00",65,1870516429304
"2016-06-25 00:00:00",76,1954228327192
"2016-06-26 00:00:00",51,185929004963
"2016-06-27 00:00:00",55,585988442710
"2016-06-28 00:00:00",1052,270359749949
"2016-06-29 00:00:00",78,450718683089
"2016-06-30 00:00:00",93,583234352050
"2016-07-01 00:00:00",96,574895975417
"2016-07-02 00:00:00",81,707566127192
